Term	Rank	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Midbrain Dopaminergic Neuron Differentiation (GO:1904948)	1	3.20122972879376e-4	0.346373056655485	0	0	28.6076388888889	230.200101540197	NR4A2;WNT9B;WNT1
Central Nervous System Neuron Differentiation (GO:0021953)	2	0.0011904726996047	0.385654024749683	0	0	9.57009889470623	64.4393500654344	NR4A2;WNT9B;SPOCK1;WNT1
Mesenchymal Cell Differentiation Involved in Kidney Development (GO:0072161)	3	0.00132824149114498	0.385654024749683	0	0	56.9395509499136	377.161857300413	TCF21;WNT4
Immune Response-Activating Cell Surface Receptor Signaling Pathway (GO:0002429)	4	0.00234428137731361	0.385654024749683	0	0	12.86484375	77.9066168230172	FCER1G;SLA2;LAX1
Dopaminergic Neuron Differentiation (GO:0071542)	5	0.00299276406451641	0.385654024749683	0	0	11.6938920454545	67.9597304916962	NR4A2;WNT9B;WNT1
Cell Differentiation Involved in Metanephros Development (GO:0072202)	6	0.00363400896705388	0.385654024749683	0	0	28.4645941278066	159.897547368265	TCF21;WNT4
Sphingosine-1-Phosphate Receptor Signaling Pathway (GO:0003376)	7	0.00363400896705388	0.385654024749683	0	0	28.4645941278066	159.897547368265	SPNS2;PIK3CG
Regulation of DNA-templated Transcription (GO:0006355)	8	0.00363721602134146	0.385654024749683	0	0	1.73389279913373	9.73847257360625	PHF2;PRR7;MAGEL2;CEBPD;FOXI3;TCF21;PRDM11;PPP1R13L;MYB;TASP1;EPC2;WNT1;WNT4;HOXC6;KCNH2;EGR1;PHC1;TAF12;NFATC2;ESRRG;BMP7;HIC1;KLF16;KLF1;NR4A2;TBX15;MYCN;ZEB1;KLF5;TLX2;TFEC;JMY;HCLS1;VGLL2;CC2D1A
Regulation of miRNA Transcription (GO:1902893)	9	0.00413872729017642	0.385654024749683	0	0	6.61900926298832	36.3209327127636	ZNF512B;EGR1;MYCN;MYB
High-Density Lipoprotein Particle Assembly (GO:0034380)	10	0.00463646293148044	0.385654024749683	0	0	24.3967431532198	131.103303811042	ZDHHC8;PRKACB
Positive Regulation of RNA Biosynthetic Process (GO:1902680)	11	0.00478070658013898	0.385654024749683	0	0	2.41830262760495	12.9213946103249	KCNH2;EGR1;TAF12;NFATC2;PRDM11;BMP7;KLF1;MYCN;MYB;TASP1;EPC2;WNT1;WNT4
Regulation of Protein Polymerization (GO:0032271)	12	0.0050616388746798	0.385654024749683	0	0	9.52546296296296	50.3522159948352	SYNGAP1;HCLS1;TTBK1
Metanephric Mesenchyme Development (GO:0072075)	13	0.00575117012625669	0.385654024749683	0	0	21.3458549222798	110.109432248723	TCF21;WNT4
Canonical Wnt Signaling Pathway (GO:0060070)	14	0.00630137212181054	0.385654024749683	0	0	5.83121838672464	29.546712845603	NR4A2;WNT9B;WNT1;WNT4
Negative Regulation of Ras Protein Signal Transduction (GO:0046580)	15	0.00697539661859643	0.385654024749683	0	0	18.9729418537709	94.2076021084479	SYNGAP1;SPRY1
Kidney Development (GO:0001822)	16	0.00703437715652238	0.385654024749683	0	0	5.63934426229508	27.9539257014955	GREB1L;TCF21;BMP7;WNT4
Gland Development (GO:0048732)	17	0.00782161902037112	0.385654024749683	0	0	5.45965262195629	26.4840307730585	PHF2;FOXI3;TCF21;WNT4
