Term	Rank	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Decreased B-1 B Cell Number MP:0004978	1	6.51221120515564e-6	0.0101785861136583	0	0	15.3622782446312	183.453738200745	CD79B;DIAPH1;ZEB1;MYB;SPNS2;ARHGEF1
Abnormal Ureteric Bud Tip Morphology MP:0011760	2	1.54586723929975e-5	0.0120809524751276	0	0	128.7890625	1426.64028410051	GREB1L;TCF21;SPRY1
Abnormal Ureteric Bud Morphology MP:0006032	3	2.95141007790542e-5	0.0153768465058873	0	0	28.7521815008726	299.903723924452	GREB1L;WNT9B;TCF21;SPRY1
Decreased Thymocyte Number MP:0000715	4	1.0858503717123e-4	0.042429603274658	0	0	7.10087827808016	64.8166531705759	ZEB1;MYB;SPNS2;CCR9;WNT1;PIK3CG;WNT4
Respiratory Distress MP:0001954	5	1.85030538969874e-4	0.0578405464819828	0	0	4.87604540023895	41.9095598503641	MN1;EFEMP2;MYCN;ZEB1;ADGRF5;TCF21;LAMC2;DSG3;CC2D1A
Abnormal Suckling Behavior MP:0001436	6	3.95735243755663e-4	0.0938178709495776	0	0	6.85505430242272	53.7077405272288	NR4A2;MN1;MAGEL2;SYNGAP1;ZEB1;TASP1
Abnormal Vascular Smooth Muscle Physiology MP:0005595	7	4.448672078442e-4	0.0938178709495776	0	0	12.7671126624006	98.5331887922168	KCNK6;EFEMP2;KLF5;ZEB1
Abnormal Humoral Immune Response MP:0001800	8	4.80193837233922e-4	0.0938178709495776	0	0	6.59353023909986	50.3832791549112	DIAPH1;SPNS2;HCLS1;ARHGEF1;LTB;PRDM11
Decreased IgG Level MP:0001805	9	7.3190534537305e-4	0.0965604616444184	0	0	6.05426356589147	43.710931485998	CD79B;FCER1G;ZEB1;SPNS2;ARHGEF1;LTB
Delayed Kidney Development MP:0000528	10	7.87240218423509e-4	0.0965604616444184	0	0	19.8004807692308	141.513583083169	WNT9B;TCF21;WNT4
Increased Bone Marrow Cell Number MP:0000321	11	7.95742773940323e-4	0.0965604616444184	0	0	10.7689790575916	76.849960663034	CNN2;EGR1;DIAPH1;MYB
Increased Circulating Corticosterone Level MP:0001745	12	7.95742773940323e-4	0.0965604616444184	0	0	10.7689790575916	76.849960663034	ZEB1;NPY5R;SST;ATP1A1
Absent Wolffian Ducts MP:0009073	13	8.03126040548586e-4	0.0965604616444184	0	0	85.4145077720207	608.749102444683	GREB1L;WNT9B
Abnormal Nervous System Development MP:0003861	14	0.0013072398081113	0.136796920620906	0	0	9.31088156219046	61.8227394500543	ARHGAP11A;NR4A2;NRN1;FOXI3
Abnormal Spleen Germinal Center Morphology MP:0002359	15	0.00154839383234074	0.136796920620906	0	0	15.1378676470588	97.9501345660199	DIAPH1;NFATC2;LTB
Abnormal B Cell Physiology MP:0002459	16	0.00173877871474797	0.136796920620906	0	0	6.26163234172387	39.7899954331954	CD79B;SPNS2;FGL2;HCLS1;NFATC2
Abnormal Leukocyte Cell Number MP:0000217	17	0.00179100864841102	0.136796920620906	0	0	14.2960069444444	90.4219054956447	EGR1;SPNS2;CCR9
Decreased Leukocyte Cell Number MP:0000221	18	0.00191589278862063	0.136796920620906	0	0	3.7905138339921	23.719411553374	ZDBF2;MAG;ZEB1;SPNS2;ADGRF5;MPL;MYPN;KLF16
Abnormal Branching Involved In Ureteric Bud Morphogenesis MP:0010981	19	0.00197704093841066	0.136796920620906	0	0	42.7020725388601	265.869680927608	TCF21;SPRY1
Abnormal Kidney Mesenchyme Morphology MP:0010985	20	0.00197704093841066	0.136796920620906	0	0	42.7020725388601	265.869680927608	TCF21;BMP7
Abnormal Olfactory Bulb Layer Morphology MP:0009946	21	0.00197704093841066	0.136796920620906	0	0	42.7020725388601	265.869680927608	APC2;ZEB1
