Term	Rank	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Signaling by GPCR	1	3.92068551884939e-4	0.0760297971112832	0	0	2.66504447054875	20.9048056570566	PTGIR;NPY5R;PDE4C;WNT9B;GPR20;ADRA1D;PIK3CG;SST;AKT2;CCR9;ARHGEF1;DRD1;WNT1;RGS8;PRKACB;CCR10;RGS6;WNT4
Nephron Development	2	4.12585057871793e-4	0.0760297971112832	0	0	25.7453125	200.634975435967	HNF4A;WNT9B;WNT4
Signal Transduction	3	4.70287404812061e-4	0.0760297971112832	0	0	1.86744437164835	14.3086697994563	DOCK6;ARHGAP11A;ZNF512B;SHC2;CTNND1;GPR20;LAMC2;ADRA1D;RFNG;PIK3CG;SYNGAP1;TRA2B;AKT2;MYB;CCR9;NRTN;DRD1;WNT1;RGS8;PRKACB;CCR10;SCAI;RGS6;WNT4;EGR1;PTGIR;PHC1;NPY5R;MCAM;PDE4C;WNT9B;KLF16;MAPK13;DIAPH1;MAG;MYCN;CENPH;ESRP2;SST;ARHGEF1;SPRY1;COL6A6;RGL2
WNT Ligand Biogenesis and Trafficking	4	0.00234428137731361	0.174634909872456	0	0	12.86484375	77.9066168230172	WNT9B;WNT1;WNT4
GPCR Downstream Signalling	5	0.00238362938539527	0.174634909872456	0	0	2.44689993861265	14.7771492756459	PTGIR;NPY5R;PDE4C;GPR20;ADRA1D;PIK3CG;SST;AKT2;CCR9;ARHGEF1;DRD1;RGS8;PRKACB;CCR10;RGS6
Nef Mediated Downregulation of MHC Class I Complex Cell Surface Expression	6	0.00274659091019951	0.174634909872456	0	0	34.159585492228	201.452562034682	AP1S1;AP1M2
HDL Assembly	7	0.00274659091019951	0.174634909872456	0	0	34.159585492228	201.452562034682	ZDHHC8;PRKACB
VEGFA-VEGFR2 Pathway	8	0.00288057583294772	0.174634909872456	0	0	5.53609986504723	32.3848835748595	SHC2;AKT2;CTNND1;PRKACB;MAPK13
Signaling by VEGF	9	0.00408415639253423	0.220090650042122	0	0	5.07801857585139	27.9323525330007	SHC2;AKT2;CTNND1;PRKACB;MAPK13
Signaling by Receptor Tyrosine Kinases	10	0.00736765808245966	0.357331416999293	0	0	2.3748658550124	11.6621478039685	EGR1;DIAPH1;SHC2;MYCN;ESRP2;AKT2;CTNND1;LAMC2;SPRY1;COL6A6;PRKACB;MAPK13
Cardiac Conduction	11	0.008759852448787	0.386229857969245	0	0	4.18599897802759	19.8314892065471	KCNH2;NPPC;KCNK6;DMPK;ATP1A1
Regulation of TP53 Activity Through Association With Co-factors	12	0.0112785681079897	0.443985664311104	0	0	14.227115716753	63.806493889764	PPP1R13L;AKT2
Kidney Development	13	0.012101398048938	0.443985664311104	0	0	6.76356907894737	29.8573312771937	HNF4A;WNT9B;WNT4
Nef-mediates Down Modulation of Cell Surface Receptors by Recruiting Them to Clathrin Adapters	14	0.0129144814242683	0.443985664311104	0	0	13.1319250697489	57.1160737715982	AP1S1;AP1M2
Nuclear Receptor Transcription Pathway	15	0.0137739757426074	0.443985664311104	0	0	6.424609375	27.5292859499469	NR4A2;HNF4A;ESRRG
Plasma Lipoprotein Assembly	16	0.0146469497504694	0.443985664311104	0	0	12.1931902294597	51.4982214912666	ZDHHC8;PRKACB
G Alpha (I) Signalling Events	17	0.0183890248263192	0.519050240843953	0	0	2.52204180845892	10.0780822674783	NPY5R;SST;PDE4C;CCR9;RGS8;PRKACB;CCR10;RGS6
Signalling to RAS	18	0.020399334744755	0.519050240843953	0	0	10.0396220664432	39.0767489987015	SHC2;MAPK13
GPCR Ligand Binding	19	0.0243391957482738	0.519050240843953	0	0	2.14641307974641	7.97535675180854	PTGIR;NPY5R;SST;CCR9;WNT9B;ADRA1D;DRD1;WNT1;CCR10;WNT4
Regulation of Gene Expression in Beta Cells	20	0.0246731447689796	0.519050240843953	0	0	8.9817289337333	33.250718732383604	AKT2;HNF4A
The Role of Nef in HIV-1 Replication and Disease Pathogenesis	21	0.0246731447689796	0.519050240843953	0	0	8.9817289337333	33.250718732383604	AP1S1;AP1M2
Regulation of TP53 Activity	22	0.0257179971439955	0.519050240843953	0	0	3.14060699193239	11.4963936911102	TAF12;PPP1R13L;AKT2;JMY;RFFL
DARPP-32 Events	23	0.0269348572335764	0.519050240843953	0	0	8.53212435233161	30.8379473373962	PDE4C;PRKACB
TGFBR3 Expression	24	0.0269348572335764	0.519050240843953	0	0	8.53212435233161	30.8379473373962	MYCN;KLF16
G Alpha (S) Signalling Events	25	0.0285403194736972	0.519050240843953	0	0	3.05076521089959	10.8498557176835	PTGIR;PDE4C;GPR20;DRD1;PRKACB
VEGFR2 Mediated Vascular Permeability	26	0.0292768219662102	0.519050240843953	0	0	8.12533925487293	28.6902408684728	AKT2;CTNND1
Adipogenesis	27	0.0297981210313026	0.519050240843953	0	0	3.57569808027923	12.5625356082398	KLF5;CEBPD;WNT1;BMP7
G Beta Gamma Signalling Through PI3Kgamma	28	0.0316968743513246	0.519050240843953	0	0	7.7555346208196	26.7685162796209	AKT2;PIK3CG
RHOB GTPase Cycle	29	0.0345117093761601	0.519050240843953	0	0	4.42591594827586	14.8996540007992	DIAPH1;MCAM;ARHGEF1
Toxicity of Botulinum Toxin Type A (botA)	30	0.0346612751312726	0.519050240843953	0	0	42.4871134020619	142.847292294753	SV2C
FCERI Mediated Ca+2 Mobilization	31	0.036762778913826	0.519050240843953	0	0	7.10837651122625	23.4808825294724	FCER1G;NFATC2
Lysosome Vesicle Biogenesis	32	0.0394044953298167	0.519050240843953	0	0	6.82362694300518	22.0667591359035	AP1S1;AP1M2
RHOC GTPase Cycle	33	0.0420812351986952	0.519050240843953	0	0	4.0734126984127	12.9051961165615	DIAPH1;MCAM;ARHGEF1
GPVI-mediated Activation Cascade	34	0.0421160266679941	0.519050240843953	0	0	6.56078118772419	20.7801389363019	FCER1G;PIK3CG
Sphingolipid De Novo Biosynthesis	35	0.0421160266679941	0.519050240843953	0	0	6.56078118772419	20.7801389363019	SGMS1;SPNS2
G-protein Beta Gamma Signalling	36	0.0448953982015547	0.519050240843953	0	0	6.31740548838994	19.6055624108268	AKT2;PIK3CG
Wax and Plasmalogen Biosynthesis	37	0.0459473556322406	0.519050240843953	0	0	28.3230240549828	87.2422492043889	AGPS
PKA-mediated Phosphorylation of Key Metabolic Factors	38	0.0459473556322406	0.519050240843953	0	0	28.3230240549828	87.2422492043889	PRKACB
Toxicity of Botulinum Toxin Type D (botD)	39	0.0459473556322406	0.519050240843953	0	0	28.3230240549828	87.2422492043889	SV2C
Toxicity of Botulinum Toxin Type F (botF)	40	0.0459473556322406	0.519050240843953	0	0	28.3230240549828	87.2422492043889	SV2C
Muscle Contraction	41	0.0516087675964602	0.519050240843953	0	0	2.57169870784746	7.622678803388	KCNH2;KCNK6;NPPC;DMPK;ATP1A1
Class A 1 (Rhodopsin-like Receptors)	42	0.053620019958579	0.519050240843953	0	0	2.1396370906896	6.26022032430238	PTGIR;NPY5R;SST;CCR9;ADRA1D;DRD1;CCR10
FLT3 Signaling	43	0.0566530466448868	0.519050240843953	0	0	5.50091927126859	15.7920913731852	AKT2;SLA2
Signalling to ERKs	44	0.0566530466448868	0.519050240843953	0	0	5.50091927126859	15.7920913731852	SHC2;MAPK13
CD22 Mediated BCR Regulation	45	0.0571021599475809	0.519050240843953	0	0	21.2409793814433	60.8110831319639	CD79B
Dopamine Receptors	46	0.0571021599475809	0.519050240843953	0	0	21.2409793814433	60.8110831319639	DRD1
Hyaluronan Biosynthesis and Export	47	0.0571021599475809	0.519050240843953	0	0	21.2409793814433	60.8110831319639	HAS1
Molecules Associated With Elastic Fibres	48	0.0597432454329959	0.519050240843953	0	0	5.32869170984456	15.014650057252	EFEMP2;BMP7
Regulation of TP53 Degradation	49	0.0597432454329959	0.519050240843953	0	0	5.32869170984456	15.014650057252	AKT2;RFFL
Transcriptional Regulation of White Adipocyte Differentiation	50	0.0613790348637922	0.519050240843953	0	0	3.46558277027027	9.67135662453854	KLF5;CEBPD;WNT1
RET Signaling	51	0.0628901766605509	0.519050240843953	0	0	5.16690218244622	14.2935389131969	NRTN;PRKACB
Regulation of TP53 Expression and Degradation	52	0.0628901766605509	0.519050240843953	0	0	5.16690218244622	14.2935389131969	AKT2;RFFL
RHOA GTPase Cycle	53	0.0633372130891487	0.519050240843953	0	0	2.76355345380848	7.62542395903329	ARHGAP11A;DIAPH1;MCAM;ARHGEF1
RHOF GTPase Cycle	54	0.0660921073559022	0.519050240843953	0	0	5.01462968607132	13.6232742743785	DIAPH1;MCAM
CDH11 Homotypic and Heterotypic Interactions	55	0.068127205857913	0.519050240843953	0	0	16.9917525773196	45.646281298092	CTNND1
TYSND1 Cleaves Peroxisomal Proteins	56	0.068127205857913	0.519050240843953	0	0	16.9917525773196	45.646281298092	AGPS
MECP2 Regulates Transcription of Neuronal Ligands	57	0.068127205857913	0.519050240843953	0	0	16.9917525773196	45.646281298092	SST
NCAM1 Interactions	58	0.0693473369271781	0.519050240843953	0	0	4.87105847520355	12.999040763885	NRTN;COL6A6
Signaling by TGFBR3	59	0.0760110493125092	0.519050240843953	0	0	4.60719787144658	11.8721802186712	MYCN;KLF16
Nectin Necl Trans Heterodimerization	60	0.0790239942634256	0.519050240843953	0	0	14.1589347079038	35.9354293531851	NECTIN4
Axonal Growth Inhibition (RHOA Activation)	61	0.0790239942634256	0.519050240843953	0	0	14.1589347079038	35.9354293531851	MAG
Regulation of CDH19 Expression and Function	62	0.0790239942634256	0.519050240843953	0	0	14.1589347079038	35.9354293531851	CTNND1
Erythrocytes Take up Oxygen and Release Carbon Dioxide	63	0.0790239942634256	0.519050240843953	0	0	14.1589347079038	35.9354293531851	CA2
InlA-mediated Entry of Listeria Monocytogenes Into Host Cells	64	0.0790239942634256	0.519050240843953	0	0	14.1589347079038	35.9354293531851	CTNND1
Amine Ligand-Binding Receptors	65	0.0794162883342058	0.519050240843953	0	0	4.4856831197163904	11.3624676513733	ADRA1D;DRD1
Regulation of Beta-Cell Development	66	0.0794162883342058	0.519050240843953	0	0	4.4856831197163904	11.3624676513733	AKT2;HNF4A
Class B 2 (Secretin Family Receptors)	67	0.081876641385538	0.519050240843953	0	0	3.05115327380952	7.63563780581344	WNT9B;WNT1;WNT4
Elastic Fibre Formation	68	0.0828683376667613	0.519050240843953	0	0	4.37039989371596	10.8844906544231	EFEMP2;BMP7
Golgi Associated Vesicle Biogenesis	69	0.0828683376667613	0.519050240843953	0	0	4.37039989371596	10.8844906544231	AP1S1;AP1M2
Vasopressin Regulates Renal Water Homeostasis via Aquaporins	70	0.0828683376667613	0.519050240843953	0	0	4.37039989371596	10.8844906544231	AQP4;PRKACB
AKT Phosphorylates Targets in the Nucleus	71	0.0897940090808263	0.519050240843953	0	0	12.1354933726068	29.2494153816682	AKT2
mRNA Editing C to U Conversion	72	0.0897940090808263	0.519050240843953	0	0	12.1354933726068	29.2494153816682	A1CF
p75NTR Regulates Axonogenesis	73	0.0897940090808263	0.519050240843953	0	0	12.1354933726068	29.2494153816682	MAG
Phase 3 - Rapid Repolarisation	74	0.0897940090808263	0.519050240843953	0	0	12.1354933726068	29.2494153816682	KCNH2
ROBO Receptors Bind AKAP5	75	0.0897940090808263	0.519050240843953	0	0	12.1354933726068	29.2494153816682	PRKACB
RUNX2 Regulates Genes Involved in Cell Migration	76	0.0897940090808263	0.519050240843953	0	0	12.1354933726068	29.2494153816682	AKT2
Regulation of CDH11 Function	77	0.0897940090808263	0.519050240843953	0	0	12.1354933726068	29.2494153816682	CTNND1
Formation of the Editosome	78	0.0897940090808263	0.519050240843953	0	0	12.1354933726068	29.2494153816682	A1CF
Ion Homeostasis	79	0.0899067119734959	0.519050240843953	0	0	4.15670415771515	10.0134283212054	DMPK;ATP1A1
SUMO E3 Ligases SUMOylate Target Proteins	80	0.0993082152005913	0.519050240843953	0	0	2.34397188553396	5.41346631053953	NR4A2;PHC1;NSMCE4A;HIC1
Activation of Ca-permeable Kainate Receptor	81	0.100438717324947	0.519050240843953	0	0	10.617912371134	24.402166008502	GRIK3
Adrenoceptors	82	0.100438717324947	0.519050240843953	0	0	10.617912371134	24.402166008502	ADRA1D
Neurotoxicity of Clostridium Toxins	83	0.100438717324947	0.519050240843953	0	0	10.617912371134	24.402166008502	SV2C
Apoptotic Cleavage of Cell Adhesion Proteins	84	0.100438717324947	0.519050240843953	0	0	10.617912371134	24.402166008502	DSG3
Calcineurin Activates NFAT	85	0.100438717324947	0.519050240843953	0	0	10.617912371134	24.402166008502	NFATC2
Prostanoid Ligand Receptors	86	0.100438717324947	0.519050240843953	0	0	10.617912371134	24.402166008502	PTGIR
RUNX1 and FOXP3 Control the Development of Regulatory T Lymphocytes (Tregs)	87	0.100438717324947	0.519050240843953	0	0	10.617912371134	24.402166008502	NFATC2
Tandem Pore Domain Potassium Channels	88	0.100438717324947	0.519050240843953	0	0	10.617912371134	24.402166008502	KCNK6
Ionotropic Activity of Kainate Receptors	89	0.100438717324947	0.519050240843953	0	0	10.617912371134	24.402166008502	GRIK3
Nucleotide-binding Domain, Leucine Rich Repeat Containing Receptor (NLR) Signaling Pathways	90	0.100777642397254	0.519050240843953	0	0	3.87258596325954	8.88696032949412	PSTPIP1;MAPK13
RHOD GTPase Cycle	91	0.100777642397254	0.519050240843953	0	0	3.87258596325954	8.88696032949412	DIAPH1;MCAM
Signaling by ERBB2	92	0.100777642397254	0.519050240843953	0	0	3.87258596325954	8.88696032949412	DIAPH1;AKT2
Transcriptional Regulation of Granulopoiesis	93	0.104479097008616	0.519050240843953	0	0	3.78629821531376	8.55237021730039	KLF5;MYB
Cell Junction Organization	94	0.104905856209861	0.519050240843953	0	0	2.72490026595745	6.1438106629871	CTNND1;LAMC2;NECTIN4
SUMOylation	95	0.110472171542953	0.519050240843953	0	0	2.25062000551116	4.95809703666154	NR4A2;PHC1;NSMCE4A;HIC1
mRNA Editing	96	0.110959569220222	0.519050240843953	0	0	9.43757159221077	20.7493447254643	A1CF
CLEC7A (Dectin-1) Induces NFAT Activation	97	0.110959569220222	0.519050240843953	0	0	9.43757159221077	20.7493447254643	NFATC2
CREB1 Phosphorylation Through the Activation of Adenylate Cyclase	98	0.110959569220222	0.519050240843953	0	0	9.43757159221077	20.7493447254643	PRKACB
Eicosanoid Ligand-Binding Receptors	99	0.110959569220222	0.519050240843953	0	0	9.43757159221077	20.7493447254643	PTGIR
Reversible Hydration of Carbon Dioxide	100	0.110959569220222	0.519050240843953	0	0	9.43757159221077	20.7493447254643	CA2
Transport of Organic Anions	101	0.110959569220222	0.519050240843953	0	0	9.43757159221077	20.7493447254643	SLCO4C1
Type I Hemidesmosome Assembly	102	0.110959569220222	0.519050240843953	0	0	9.43757159221077	20.7493447254643	LAMC2
Unwinding of DNA	103	0.110959569220222	0.519050240843953	0	0	9.43757159221077	20.7493447254643	MCM6
Signaling by NTRK1 (TRKA)	104	0.112262582488254	0.519050240843953	0	0	2.64014175257732	5.77376471693192	EGR1;SHC2;MAPK13
Adherens Junctions Interactions	105	0.115797618766399	0.519050240843953	0	0	3.54900690846287	7.65134401747079	CTNND1;NECTIN4
Aquaporin-mediated Transport	106	0.115797618766399	0.519050240843953	0	0	3.54900690846287	7.65134401747079	AQP4;PRKACB
O2 CO2 Exchange in Erythrocytes	107	0.12135799835906	0.519050240843953	0	0	8.49329896907216	17.9124561745274	CA2
Regulation of Glycolysis by Fructose 2,6-Bisphosphate Metabolism	108	0.12135799835906	0.519050240843953	0	0	8.49329896907216	17.9124561745274	PRKACB
Regulation of Localization of FOXO Transcription Factors	109	0.12135799835906	0.519050240843953	0	0	8.49329896907216	17.9124561745274	AKT2
Erythrocytes Take up Carbon Dioxide and Release Oxygen	110	0.12135799835906	0.519050240843953	0	0	8.49329896907216	17.9124561745274	CA2
trans-Golgi Network Vesicle Budding	111	0.123508591479645	0.519050240843953	0	0	3.40663212435233	7.12478221995891	AP1S1;AP1M2
Assembly of Collagen Fibrils and Other Multimeric Structures	112	0.131339978504499	0.519050240843953	0	0	3.27520924671184	6.64856361638827	LAMC2;COL6A6
Chemokine Receptors Bind Chemokines	113	0.131339978504499	0.519050240843953	0	0	3.27520924671184	6.64856361638827	CCR9;CCR10
Regulation of PTEN Gene Transcription	114	0.131339978504499	0.519050240843953	0	0	3.27520924671184	6.64856361638827	EGR1;PHC1
AKT Phosphorylates Targets in the Cytosol	115	0.131635421904755	0.519050240843953	0	0	7.72071227741331	15.6554360045184	AKT2
p38MAPK Events	116	0.131635421904755	0.519050240843953	0	0	7.72071227741331	15.6554360045184	MAPK13
Negative Regulation of FLT3	117	0.131635421904755	0.519050240843953	0	0	7.72071227741331	15.6554360045184	SLA2
Anchoring Fibril Formation	118	0.131635421904755	0.519050240843953	0	0	7.72071227741331	15.6554360045184	LAMC2
Physiological Factors	119	0.131635421904755	0.519050240843953	0	0	7.72071227741331	15.6554360045184	NPPC
Downregulation of ERBB2 ERBB3 Signaling	120	0.131635421904755	0.519050240843953	0	0	7.72071227741331	15.6554360045184	AKT2
Erythropoietin Activates Phosphoinositide-3-kinase (PI3K)	121	0.131635421904755	0.519050240843953	0	0	7.72071227741331	15.6554360045184	PIK3CG
SARS-CoV-2 Targets Host Intracellular Signalling and Regulatory Pathways	122	0.131635421904755	0.519050240843953	0	0	7.72071227741331	15.6554360045184	AKT2
Transcriptional Regulation of Testis Differentiation	123	0.131635421904755	0.519050240843953	0	0	7.72071227741331	15.6554360045184	WNT4
NCAM Signaling for Neurite Out-Growth	124	0.13529778541918	0.52918891877663	0	0	3.21321732329651	6.42732506724953	NRTN;COL6A6
Activation of BAD and Translocation to Mitochondria	125	0.14179324065965	0.545791442221667	0	0	7.07689003436426	13.8238932044972	AKT2
Passive Transport by Aquaporins	126	0.14179324065965	0.545791442221667	0	0	7.07689003436426	13.8238932044972	AQP4
MITF-M-regulated Melanocyte Development	127	0.143513684900445	0.548064072257604	0	0	2.34776376146789	4.55777220994132	DIAPH1;AKT2;TFEC
Peptide Ligand-Binding Receptors	128	0.151385472694712	0.552475067982003	0	0	1.98648484110556	3.75033617298214	NPY5R;SST;CCR9;CCR10
C-type Lectin Receptors (CLRs)	129	0.151737778534958	0.552475067982003	0	0	2.28445870535714	4.30757850821549	FCER1G;NFATC2;PRKACB
Platelet Adhesion to Exposed Collagen	130	0.151832839394489	0.552475067982003	0	0	6.53211736716891	12.3128786143049	FCER1G
Rap1 Signalling	131	0.151832839394489	0.552475067982003	0	0	6.53211736716891	12.3128786143049	PRKACB
TNF Receptor Superfamily (TNFSF) Members Mediating Non-Canonical NF-kB Pathway	132	0.151832839394489	0.552475067982003	0	0	6.53211736716891	12.3128786143049	LTB
PTEN Regulation	133	0.154512157383114	0.552475067982003	0	0	2.26410398230089	4.228174558734	EGR1;PHC1;AKT2
Signaling by NTRKs	134	0.154512157383114	0.552475067982003	0	0	2.26410398230089	4.228174558734	EGR1;SHC2;MAPK13
RHO GTPase Cycle	135	0.161096828307186	0.552475067982003	0	0	1.59977304964539	2.9207851282154	DOCK6;ARHGAP11A;ZNF512B;DIAPH1;TRA2B;MCAM;ARHGEF1
Negative Regulation of TCF-dependent Signaling by WNT Ligand Antagonists	136	0.161755586914318	0.552475067982003	0	0	6.06516936671576	11.0487298370523	WNT4
Phase 4 - Resting Membrane Potential	137	0.161755586914318	0.552475067982003	0	0	6.06516936671576	11.0487298370523	KCNK6
ERBB2 Regulates Cell Motility	138	0.161755586914318	0.552475067982003	0	0	6.06516936671576	11.0487298370523	DIAPH1
Role of LAT2 NTAL LAB on Calcium Mobilization	139	0.161755586914318	0.552475067982003	0	0	6.06516936671576	11.0487298370523	FCER1G
SUMOylation of DNA Methylation Proteins	140	0.161755586914318	0.552475067982003	0	0	6.06516936671576	11.0487298370523	PHC1
Hyaluronan Metabolism	141	0.161755586914318	0.552475067982003	0	0	6.06516936671576	11.0487298370523	HAS1
The NLRP3 Inflammasome	142	0.161755586914318	0.552475067982003	0	0	6.06516936671576	11.0487298370523	PSTPIP1
Plasma Lipoprotein Assembly, Remodeling, and Clearance	143	0.163681588598629	0.555143849442904	0	0	2.83713298791019	5.13473483952177	ZDHHC8;PRKACB
RHO GTPases Activate Formins	144	0.17148190854504	0.55605958982381	0	0	2.14915966386555	3.78956489526418	DIAPH1;CENPH;SCAI
Defective GALNT12 Causes CRCS1	145	0.171562836232196	0.55605958982381	0	0	5.66048109965636	9.9783282762162	GALNT12
Receptor-type Tyrosine-Protein Phosphatases	146	0.171562836232196	0.55605958982381	0	0	5.66048109965636	9.9783282762162	SLITRK6
HDMs Demethylate Histones	147	0.171562836232196	0.55605958982381	0	0	5.66048109965636	9.9783282762162	PHF2
