Term	Rank	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Autonomic Nervous System Development (GO:0048483)	1	4.9353042766231e-4	0.127232593533514	0	0	73.1076923076923	556.636562487605	KIF26A;SEMA3A
Positive Regulation of Response to Biotic Stimulus (GO:0002833)	2	0.00336824814521536	0.127232593533514	0	0	25.6494208494208	146.031451015894	CPT1A;EMILIN2
Facial Nerve Morphogenesis (GO:0021610)	3	0.00663944808434933	0.127232593533514	0	0	231.152777777778	1159.16794611858	SEMA3A
Facial Nerve Structural Organization (GO:0021612)	4	0.00663944808434933	0.127232593533514	0	0	231.152777777778	1159.16794611858	SEMA3A
Trigeminal Nerve Morphogenesis (GO:0021636)	5	0.00663944808434933	0.127232593533514	0	0	231.152777777778	1159.16794611858	SEMA3A
Trigeminal Nerve Structural Organization (GO:0021637)	6	0.00663944808434933	0.127232593533514	0	0	231.152777777778	1159.16794611858	SEMA3A
Dendrite Arborization (GO:0140059)	7	0.00663944808434933	0.127232593533514	0	0	231.152777777778	1159.16794611858	SEMA3A
Branchiomotor Neuron Axon Guidance (GO:0021785)	8	0.00663944808434933	0.127232593533514	0	0	231.152777777778	1159.16794611858	SEMA3A
Sympathetic Neuron Projection Extension (GO:0097490)	9	0.00884306242205881	0.127232593533514	0	0	154.092592592593	728.56858238875	SEMA3A
Regulation of Axon Extension Involved in Axon Guidance (GO:0048841)	10	0.00884306242205881	0.127232593533514	0	0	154.092592592593	728.56858238875	SEMA3A
Sensory Organ Development (GO:0007423)	11	0.00911901712979001	0.127232593533514	0	0	15.0403628117914	70.6504987731221	WNT10A;SIX6
Long-Chain Fatty Acid Metabolic Process (GO:0001676)	12	0.0105144991667566	0.127232593533514	0	0	13.9302521008403	63.4522997307771	CPT1A;PLA2G10
Regulation of Renal Sodium Excretion (GO:0035813)	13	0.0110419220552728	0.127232593533514	0	0	115.5625	520.731114305546	NPPB
Maintenance of DNA Repeat Elements (GO:0043570)	14	0.0110419220552728	0.127232593533514	0	0	115.5625	520.731114305546	RMI2
Tongue Development (GO:0043586)	15	0.0110419220552728	0.127232593533514	0	0	115.5625	520.731114305546	WNT10A
Resolution of DNA Recombination Intermediates (GO:0071139)	16	0.0110419220552728	0.127232593533514	0	0	115.5625	520.731114305546	RMI2
Amino-Acid Betaine Metabolic Process (GO:0006577)	17	0.0110419220552728	0.127232593533514	0	0	115.5625	520.731114305546	CPT1A
Neuron Projection Extension Involved in Neuron Projection Guidance (GO:1902284)	18	0.0110419220552728	0.127232593533514	0	0	115.5625	520.731114305546	SEMA3A
Positive Regulation of Urine Volume (GO:0035810)	19	0.0110419220552728	0.127232593533514	0	0	115.5625	520.731114305546	NPPB
Axon Extension Involved in Axon Guidance (GO:0048846)	20	0.0110419220552728	0.127232593533514	0	0	115.5625	520.731114305546	SEMA3A
Enteric Nervous System Development (GO:0048484)	21	0.0132360364729982	0.127232593533514	0	0	92.4444444444444	399.804854992829	KIF26A
Positive Regulation of Icosanoid Secretion (GO:0032305)	22	0.0132360364729982	0.127232593533514	0	0	92.4444444444444	399.804854992829	PLA2G10
Excitatory Chemical Synaptic Transmission (GO:0098976)	23	0.0132360364729982	0.127232593533514	0	0	92.4444444444444	399.804854992829	SHISA6
Epigenetic Programming in the Zygotic Pronuclei (GO:0044725)	24	0.0154254153286664	0.127232593533514	0	0	77.0324074074074	321.359081596339	TET3
Regulation of Defense Response to Bacterium (GO:1900424)	25	0.0154254153286664	0.127232593533514	0	0	77.0324074074074	321.359081596339	EMILIN2
Phosphatidylcholine Catabolic Process (GO:0034638)	26	0.0154254153286664	0.127232593533514	0	0	77.0324074074074	321.359081596339	PLA2G10
Platelet Activating Factor Metabolic Process (GO:0046469)	27	0.0154254153286664	0.127232593533514	0	0	77.0324074074074	321.359081596339	PLA2G10
Positive Regulation of Platelet Aggregation (GO:1901731)	28	0.0154254153286664	0.127232593533514	0	0	77.0324074074074	321.359081596339	EMILIN2
