Term	Rank	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Lethality At Weaning, Incomplete Penetrance MP:0011084	1	0.00319997178318442	0.146446039382557	0	0	26.3634920634921	151.44806679887	HPSE2;SEMA3A
Absent Molars MP:0003931	2	0.00884306242205881	0.146446039382557	0	0	154.092592592593	728.56858238875	WNT10A
Abnormal Guard Hair Morphology MP:0000397	3	0.00884306242205881	0.146446039382557	0	0	154.092592592593	728.56858238875	GSDMA
Abnormal Hair Cycle Catagen Phase MP:0008859	4	0.0110419220552728	0.146446039382557	0	0	115.5625	520.731114305546	GSDMA
Coarse Hair MP:0002832	5	0.0110419220552728	0.146446039382557	0	0	115.5625	520.731114305546	GSDMA
Thin Hair Shaft MP:0009351	6	0.0110419220552728	0.146446039382557	0	0	115.5625	520.731114305546	GSDMA
Ovarian Follicular Cyst MP:0009444	7	0.0110419220552728	0.146446039382557	0	0	115.5625	520.731114305546	SIX6
Hypergranulosis MP:0009600	8	0.0110419220552728	0.146446039382557	0	0	115.5625	520.731114305546	GSDMA
Abnormal Prostaglandin Level MP:0009811	9	0.0110419220552728	0.146446039382557	0	0	115.5625	520.731114305546	PLA2G10
Retina Hypoplasia MP:0002984	10	0.0132360364729982	0.146446039382557	0	0	92.4444444444444	399.804854992829	SIX6
Short Proestrus MP:0009015	11	0.0132360364729982	0.146446039382557	0	0	92.4444444444444	399.804854992829	SIX6
Double Inlet Heart Left Ventricle MP:0010433	12	0.0132360364729982	0.146446039382557	0	0	92.4444444444444	399.804854992829	TLL1
Abnormal Molar Root Morphology MP:0030494	13	0.0132360364729982	0.146446039382557	0	0	92.4444444444444	399.804854992829	WNT10A
Abnormal Filiform Papillae Morphology MP:0000763	14	0.0132360364729982	0.146446039382557	0	0	92.4444444444444	399.804854992829	WNT10A
Decreased Interleukin-18 Secretion MP:0008685	15	0.0132360364729982	0.146446039382557	0	0	92.4444444444444	399.804854992829	PELI2
Increased Cornea Stroma Thickness MP:0009742	16	0.0132360364729982	0.146446039382557	0	0	92.4444444444444	399.804854992829	GSDMA
Abnormal Gustatory Papilla Taste Bud Morphology MP:0006260	17	0.0132360364729982	0.146446039382557	0	0	92.4444444444444	399.804854992829	WNT10A
Increased Hepatic Glucose Production MP:0020102	18	0.0132360364729982	0.146446039382557	0	0	92.4444444444444	399.804854992829	BAIAP2L1
Urinary Incontinence MP:0003280	19	0.0132360364729982	0.146446039382557	0	0	92.4444444444444	399.804854992829	HPSE2
Abnormal Intestinal Peristalsis MP:0003289	20	0.0132360364729982	0.146446039382557	0	0	92.4444444444444	399.804854992829	KIF26A
Increased Circulating Interleukin-18 Level MP:0008635	21	0.0154254153286664	0.146446039382557	0	0	77.0324074074074	321.359081596339	C1QTNF4
Abnormal Molar Crown Morphology MP:0003932	22	0.0176100683545105	0.146446039382557	0	0	66.0238095238095	266.688948783806	WNT10A
Failure Of Atrioventricular Cushion Closure MP:0000299	23	0.0176100683545105	0.146446039382557	0	0	66.0238095238095	266.688948783806	TLL1
Increased Macrophage Apoptosis MP:0011080	24	0.0176100683545105	0.146446039382557	0	0	66.0238095238095	266.688948783806	PELI2
Pituitary Gland Hypoplasia MP:0002659	25	0.0176100683545105	0.146446039382557	0	0	66.0238095238095	266.688948783806	SIX6
Progressive Hair Loss MP:0009004	26	0.0176100683545105	0.146446039382557	0	0	66.0238095238095	266.688948783806	GSDMA
Abnormal Macrophage Differentiation MP:0008113	27	0.0197900053219672	0.146446039382557	0	0	57.7673611111111	226.596994280085	C1QTNF4
Abnormal Male Genitalia Morphology MP:0009198	28	0.0197900053219672	0.146446039382557	0	0	57.7673611111111	226.596994280085	SHISA6
Ectopic Neuron MP:0011723	29	0.0197900053219672	0.146446039382557	0	0	57.7673611111111	226.596994280085	NTN5
Abnormal Alveolar Process Morphology MP:0004189	30	0.0197900053219672	0.146446039382557	0	0	57.7673611111111	226.596994280085	WNT10A
Abnormal Atrial Thrombosis MP:0001855	31	0.0197900053219672	0.146446039382557	0	0	57.7673611111111	226.596994280085	SEMA3A
Eye Opacity MP:0009859	32	0.0197900053219672	0.146446039382557	0	0	57.7673611111111	226.596994280085	GSDMA
