Term	Rank	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
RHOF GTPase Cycle	1	6.81829673349185e-5	0.0225003792205231	0	0	44.4171122994652	426.107383886044	FARP1;BAIAP2L1;FAM169A
RHO GTPase Cycle	2	0.00984820654972846	0.251878371871499	0	0	5.21628988295655	24.101689615022998	FARP1;BAIAP2L1;FAM169A;STAM2
Processing of DNA Double-Strand Break Ends	3	0.00994558258570435	0.251878371871499	0	0	14.3541125541126	66.1814558546093	RMI2;TIPIN
Interleukin-1 Signaling	4	0.0155643219771602	0.251878371871499	0	0	11.2659863945578	46.8977556618956	PSMD12;PELI2
Class B 2 (Secretin Family Receptors)	5	0.0159085077479336	0.251878371871499	0	0	11.1327731092437	46.0997139100618	WNT10A;GNG4
Signaling by WNT	6	0.0185159025232731	0.251878371871499	0	0	5.76306538551676	22.9895900518298	WNT10A;PSMD12;GNG4
HDR Through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	7	0.0202892694993667	0.251878371871499	0	0	9.74845360824742	37.9961881914968	RMI2;TIPIN
IRAK1 Recruits IKK Complex	8	0.0219652360171865	0.251878371871499	0	0	51.3456790123457	196.052911267065	PELI2
IRAK1 Recruits IKK Complex Upon TLR7 8 or 9 Stimulation	9	0.0219652360171865	0.251878371871499	0	0	51.3456790123457	196.052911267065	PELI2
Homology Directed Repair	10	0.0226479544636897	0.251878371871499	0	0	9.17725381414702	34.7605534205887	RMI2;TIPIN
SEMA3A-Plexin Repulsion Signaling by Inhibiting Integrin Adhesion	11	0.0241357702351562	0.251878371871499	0	0	46.2083333333333	172.082619546188	SEMA3A
Sema3A PAK Dependent Axon Repulsion	12	0.0241357702351562	0.251878371871499	0	0	46.2083333333333	172.082619546188	SEMA3A
Anchoring Fibril Formation	13	0.0263016177716238	0.251878371871499	0	0	42.0050505050505	152.819617205195	TLL1
Carnitine Shuttle	14	0.0263016177716238	0.251878371871499	0	0	42.0050505050505	152.819617205195	CPT1A
Lysosphingolipid and LPA Receptors	15	0.0263016177716238	0.251878371871499	0	0	42.0050505050505	152.819617205195	PLPPR3
CRMPs in Sema3A Signaling	16	0.0284627884051411	0.251878371871499	0	0	38.5023148148148	137.035810812051	SEMA3A
InlB-mediated Entry of Listeria Monocytogenes Into Host Cell	17	0.0284627884051411	0.251878371871499	0	0	38.5023148148148	137.035810812051	STAM2
Interleukin-1 Family Signaling	18	0.0290102053349245	0.251878371871499	0	0	8.00338983050847	28.3328611871549	PSMD12;PELI2
Beta-catenin Independent WNT Signaling	19	0.0299069000703305	0.251878371871499	0	0	7.86904761904762	27.6177293029395	PSMD12;GNG4
G2 M Checkpoints	20	0.0303593919864578	0.251878371871499	0	0	7.80354191263282	27.270642699616	RMI2;PSMD12
Crosslinking of Collagen Fibrils	21	0.0327711380685418	0.251878371871499	0	0	32.9980158730159	112.79405174373	TLL1
DNA Double-Strand Break Repair	22	0.0336029242443374	0.251878371871499	0	0	7.37366071428571	25.0198792254444	RMI2;TIPIN
Acyl Chain Remodelling of PI	23	0.0349183366004553	0.251878371871499	0	0	30.7962962962963	103.313665083994	PLA2G10
G Beta Gamma Signalling Through BTK	24	0.0349183366004553	0.251878371871499	0	0	30.7962962962963	103.313665083994	GNG4
RORA Activates Gene Expression	25	0.0370608972539484	0.251878371871499	0	0	28.8697916666667	95.1315310108971	CPT1A
Listeria Monocytogenes Entry Into Host Cells	26	0.0370608972539484	0.251878371871499	0	0	28.8697916666667	95.1315310108971	STAM2
Signaling by Rho GTPases	27	0.0371670310317083	0.251878371871499	0	0	3.42461522074879	11.2749742969032	FARP1;BAIAP2L1;FAM169A;STAM2
Negative Regulation of MET Activity	28	0.0391988297482204	0.251878371871499	0	0	27.1699346405229	88.0063631410011	STAM2
Acyl Chain Remodelling of PG	29	0.0391988297482204	0.251878371871499	0	0	27.1699346405229	88.0063631410011	PLA2G10
G Beta Gamma Signalling Through CDC42	30	0.0391988297482204	0.251878371871499	0	0	27.1699346405229	88.0063631410011	GNG4
Prostacyclin Signalling Through Prostacyclin Receptor	31	0.0391988297482204	0.251878371871499	0	0	27.1699346405229	88.0063631410011	GNG4
Signaling by Rho GTPases, Miro GTPases and RHOBTB3	32	0.0396395276313392	0.251878371871499	0	0	3.35137954415063	10.8180134981494	FARP1;BAIAP2L1;FAM169A;STAM2
G Beta Gamma Signalling Through PLC Beta	33	0.0413321437759939	0.251878371871499	0	0	25.658950617284	81.7523618541942	GNG4
G-protein Activation	34	0.0434608490200362	0.251878371871499	0	0	24.3070175438597	76.2242491579748	GNG4
HS-GAG Degradation	35	0.0434608490200362	0.251878371871499	0	0	24.3070175438597	76.2242491579748	HPSE2
Presynaptic Function of Kainate Receptors	36	0.0434608490200362	0.251878371871499	0	0	24.3070175438597	76.2242491579748	GNG4
RAC1 GTPase Cycle	37	0.0451503102293328	0.251878371871499	0	0	6.24181646168401	19.3356376780477	FARP1;BAIAP2L1
ADP Signalling Through P2Y Purinoceptor 12	38	0.0455849551583073	0.251878371871499	0	0	23.0902777777778	71.3068774020994	GNG4
Ub-specific Processing Proteases	39	0.0462154725061369	0.251878371871499	0	0	6.15947712418301	18.9369467562083	PSMD12;STAM2
Acyl Chain Remodelling of PS	40	0.0477044718339271	0.251878371871499	0	0	21.989417989418	66.9078647970469	PLA2G10
Impaired BRCA2 Binding to PALB2	41	0.0498194086657991	0.251878371871499	0	0	20.9886363636364	62.952279881297	RMI2
Thromboxane Signalling Through TP Receptor	42	0.0498194086657991	0.251878371871499	0	0	20.9886363636364	62.952279881297	GNG4
WNT Ligand Biogenesis and Trafficking	43	0.0498194086657991	0.251878371871499	0	0	20.9886363636364	62.952279881297	WNT10A
ADP Signalling Through P2Y Purinoceptor 1	44	0.0519297752737411	0.251878371871499	0	0	20.0748792270531	59.3787414637129	GNG4
G Beta Gamma Signalling Through PI3Kgamma	45	0.0519297752737411	0.251878371871499	0	0	20.0748792270531	59.3787414637129	GNG4
Defective HDR Through Homologous Recombination Repair Due to PALB2 Loss of BRCA1 Binding Function	46	0.0519297752737411	0.251878371871499	0	0	20.0748792270531	59.3787414637129	RMI2
Defective HDR Through Homologous Recomb Repair Due to PALB2 Loss of BRCA2 RAD51 RAD51C Binding Fnc	47	0.0519297752737411	0.251878371871499	0	0	20.0748792270531	59.3787414637129	RMI2
Defective Homologous Recombination Repair (HRR) Due to BRCA1 Loss of Function	48	0.0519297752737411	0.251878371871499	0	0	20.0748792270531	59.3787414637129	RMI2
Defective Homologous Recombination Repair (HRR) Due to PALB2 Loss of Function	49	0.0519297752737411	0.251878371871499	0	0	20.0748792270531	59.3787414637129	RMI2
Resolution of D-loop Structures Through Synthesis-Dependent Strand Annealing (SDSA)	50	0.0540355812448263	0.251878371871499	0	0	19.2372685185185	56.1365144504465	RMI2
