sig_class	n	median	mean	sd	metric
Non-significant	7559	0.00380826	0.03992339006746924	0.08907204766304448	s_het
Negative	7931	0.01836345	0.06849774494515194	0.11614953638156358	s_het
Both	192	0.0267846	0.0816999128125	0.12360399506156601	s_het
Positive	36	0.011115964999999998	0.049334000277777776	0.09582704287796019	s_het
Non-significant	7634	1.069	1.0956660990306524	0.4627992562264892	loeuf
Negative	7870	0.868	0.9030540025412961	0.43924722804057675	loeuf
Both	186	0.7995000000000001	0.8601236559139784	0.44568494602470987	loeuf
Positive	36	1.0415	1.0677222222222222	0.5258220019909569	loeuf
Non-significant	7754	1.007	1.021067964921331	0.21737409190520224	moeuf
Negative	7890	0.957	0.9675552598225602	0.21616796882855038	moeuf
Both	188	0.959	0.9806170212765958	0.214401098767187	moeuf
Positive	36	1.0205	1.0895	0.22730300733350878	moeuf
Non-significant	6694	0.377738354	0.3900111647860771	0.11976412695015508	alphmis
Negative	6948	0.435630133	0.4416585450797352	0.12157687266786066	alphmis
Both	167	0.450732878	0.4461320671796407	0.10264611484578719	alphmis
Positive	33	0.405255425	0.41166911072727275	0.11110340670931157	alphmis
Non-significant	8078	0.8893224510947013	0.8328166425550928	0.1629943635711276	tau_tissue
Negative	8092	0.7725173819854672	0.755068105080785	0.1678596452496593	tau_tissue
Both	195	0.8539823008849559	0.8251500675904226	0.13657830903006868	tau_tissue
Positive	37	0.84625	0.8382559042674006	0.14164093243711895	tau_tissue
Non-significant	8030	0.960299196033628	0.9252291998882856	0.0859722726159176	tau_celltype
Negative	8079	0.9178805634663436	0.8898135003302787	0.0957979280737243	tau_celltype
Both	195	0.9567977181451064	0.92689157212707	0.07595980952534918	tau_celltype
Positive	37	0.9513196645051172	0.9218438591843721	0.0813700962943438	tau_celltype
Non-significant	8349	1.4854268271702415	2.001689355233448	2.02066770502043	log_median_nTPM_tissue
Negative	8099	3.1538053360790355	3.0683298916972217	1.992319312097007	log_median_nTPM_tissue
Both	195	2.4594316186372973	2.467918281233006	1.87405765148639	log_median_nTPM_tissue
Positive	37	1.263034405833794	1.529365683749799	1.249373909798822	log_median_nTPM_tissue
Non-significant	8349	1.263034405833794	2.2088797929242383	2.3360467015625743	log_median_nCPM_celltype
Negative	8099	3.71699089440494	3.46003232497754	2.384378136562613	log_median_nCPM_celltype
Both	195	1.9068905956085185	2.554708071681656	2.3058128841042067	log_median_nCPM_celltype
Positive	37	1.7004397181410922	2.3238958736217628	2.202093639884591	log_median_nCPM_celltype
Non-significant	7960	0.4517887635	0.47057727358492457	0.14400407250766778	eds
Negative	7987	0.493937709	0.5046616321179416	0.13820338325487663	eds
Both	192	0.5458822745	0.5506919966354167	0.13782164862122387	eds
Positive	36	0.541344571	0.5294469804166667	0.14237726422890215	eds
Non-significant	7333	0.9113247863247864	0.8446222757585541	0.17442188204234274	mean_frac_distal_count
Negative	7672	0.8106081259707214	0.776676515647542	0.1904238969312306	mean_frac_distal_count
Both	186	0.9133503401360545	0.8635543478844394	0.1347494525120899	mean_frac_distal_count
Positive	34	0.9445822353974529	0.890320614658353	0.13230770958679447	mean_frac_distal_count
Non-significant	7333	0.8097681572062445	0.7022429773235924	0.2952604784581373	mean_frac_distal_score
Negative	7672	0.5815301355594518	0.5768397844993921	0.3093734500708225	mean_frac_distal_score
Both	186	0.8078624139353627	0.723607206966643	0.25325803682752307	mean_frac_distal_score
Positive	34	0.868457910451674	0.773112246039106	0.24124240468471986	mean_frac_distal_score
Non-significant	8351	1.9379570020474848	2.0999712541991133	1.510677789565633	avgKHS_activity_prom
Negative	8099	3.245827632892985	3.1969095963710226	1.4070633571125768	avgKHS_activity_prom
Both	195	2.3182920312830686	2.3766002582048573	1.2394444285846793	avgKHS_activity_prom
Positive	37	2.0657872038061464	2.142182476734416	1.177433966337289	avgKHS_activity_prom
