avgKHS_skew_base_bin	alphmis_bin	count_n	phyloP_mam241_base_mean	phyloP_mam241_base_sd	phyloP_mam241_base_se	phyloP_mam241_base_lci	phyloP_mam241_base_uci
(-Inf,-1.5]	1	543	3.9885727478770967	3.217308906634601	0.1380679404160765	3.7179595846615867	4.259185911092606
(-Inf,-1.5]	2	735	4.698390483218848	3.174320297515286	0.11708656807433215	4.468900809793157	4.927880156644539
(-Inf,-1.5]	3	758	4.810449861241307	3.134414217519503	0.11384705107398815	4.58730964113629	5.033590081346324
(-Inf,-1.5]	4	866	5.091815230589335	2.9965308792680463	0.10182626438327592	4.892235752398114	5.2913947087805555
(-Inf,-1.5]	5	977	4.806024562517658	3.071715241203589	0.09827287705897146	4.613409723482074	4.998639401553242
(-Inf,-1.5]	6	910	5.028613179356149	3.00004714582861	0.09945059448876943	4.833690014158161	5.2235363445541365
(-Inf,-1.5]	7	943	5.7084676502568765	2.8524128310270074	0.0928873418749929	5.526408460181891	5.890526840331862
(-Inf,-1.5]	8	941	5.851969161852599	2.7946476035251027	0.09110290819100836	5.673407461798223	6.030530861906976
(-Inf,-1.5]	9	867	6.121166099166881	2.51149119381271	0.08529471275383192	5.95398846216937	6.288343736164391
(-Inf,-1.5]	10	1077	6.281187564494328	2.5383716103423413	0.07734769040474904	6.12958609130102	6.432789037687636
(-1.5,-1]	1	1892	3.0844777930504796	2.989257574071955	0.06872310484554915	2.9497805075532035	3.2191750785477558
(-1.5,-1]	2	2440	3.625239756867554	3.1050325955309273	0.06285954750737371	3.5020350437531014	3.7484444699820068
(-1.5,-1]	3	2521	3.821483544148484	3.0750868905831483	0.0612450465405829	3.701443252928941	3.9415238353680264
(-1.5,-1]	4	2687	3.7745768498687897	3.0784458217067603	0.05938786074748098	3.658176642803727	3.8909770569338527
(-1.5,-1]	5	3174	4.124648389232161	3.0912033500421545	0.05486862970134243	4.0171058750175295	4.232190903446792
(-1.5,-1]	6	2903	4.387575265342052	3.0734756481653207	0.05704351234821923	4.275769981139542	4.499380549544562
(-1.5,-1]	7	2891	4.7185517147725236	3.0246080157745245	0.05625291767393655	4.608295996131608	4.828807433413439
(-1.5,-1]	8	3075	4.98468004323261	2.8441515237937964	0.051289701307959464	4.88415222866901	5.0852078577962105
(-1.5,-1]	9	3191	5.0515045427896546	2.895333194456267	0.05125487130328192	4.951044995035222	5.151964090544087
(-1.5,-1]	10	3429	5.067126275260613	2.920328530373845	0.04987098761261896	4.96937913953988	5.164873410981347
(-1,-0.5]	1	7439	2.2213043184340475	2.871523991874746	0.033293171648039806	2.1560497020038896	2.2865589348642055
(-1,-0.5]	2	9461	2.4423524995189387	2.8944276604809223	0.029757344896403082	2.3840281035219886	2.500676895515889
(-1,-0.5]	3	9789	2.668243537912308	2.9723133884422768	0.03004176423304829	2.6093616800155335	2.7271253958090824
(-1,-0.5]	4	11091	2.7678263460561023	3.0093500427472373	0.028575073389288257	2.711819202213097	2.8238334898991075
(-1,-0.5]	5	11245	2.9901839026768755	2.97250444150579	0.02803127049945109	2.9352426124979516	3.0451251928557994
(-1,-0.5]	6	10970	3.144606563139357	3.0622566047250976	0.029237367470850862	3.087301322896489	3.2019118033822247
(-1,-0.5]	7	11582	3.518085046299067	3.0582527570662834	0.028417220400815794	3.462387294313468	3.573782798284666
(-1,-0.5]	8	11858	3.598313676549038	3.050520733451887	0.028013557100960908	3.543407104631155	3.6532202484669214
(-1,-0.5]	9	12523	3.7922357249008747	3.046916470473911	0.02722741169226867	3.738869997984028	3.8456014518177213
(-1,-0.5]	10	13289	3.8694289263413846	3.023625368536566	0.026229005836644108	3.818020074901562	3.920837777781207
(-0.5,-0.2]	1	18980	1.164268353245162	2.4780995112185535	0.01798749300221762	1.1290128669608155	1.1995238395295087
(-0.5,-0.2]	2	23071	1.2608474714405202	2.5415870709600594	0.016732921860056142	1.2280509445948102	1.2936439982862302
(-0.5,-0.2]	3	24090	1.4511674963386898	2.6359571955024665	0.01698321679846398	1.4178803914137004	1.4844546012636792
(-0.5,-0.2]	4	25948	1.569044473171517	2.711123001587507	0.016830510030741777	1.536056673511263	1.6020322728317709
(-0.5,-0.2]	5	27843	1.6944291920085632	2.7473432874559274	0.016464741451449307	1.6621582987637227	1.7267000852534038
(-0.5,-0.2]	6	27798	1.8532624283996786	2.7863890395730095	0.016712252084429783	1.8205064143141962	1.886018442485161
(-0.5,-0.2]	7	29550	2.1834388829391824	2.8903251763979063	0.016813880762787378	2.1504836766441193	2.2163940892342455
(-0.5,-0.2]	8	29848	2.2899136908208115	2.9153144276060967	0.016874378406420316	2.2568399091442277	2.3229874724973953
(-0.5,-0.2]	9	29995	2.358048607475125	2.917468322139683	0.016845415054479288	2.3250315939683457	2.3910656209819043
(-0.5,-0.2]	10	30965	2.3627367024132298	2.9458942462653805	0.01674100823423836	2.3299243262741225	2.395549078552337
(-0.2,-0.05]	1	58024	0.4842962115127754	2.038309609558212	0.008461869430278993	0.4677109474294286	0.5008814755961223
(-0.2,-0.05]	2	62207	0.5296774259551565	2.1904667130373374	0.008782477162277745	0.5124637707170921	0.5468910811932209
(-0.2,-0.05]	3	65549	0.620413278136222	2.2780375268527893	0.008897701640037102	0.6029737829217493	0.6378527733506948
(-0.2,-0.05]	4	67729	0.7327377931934241	2.3797687449259803	0.00914423596997858	0.7148150906922661	0.7506604956945822
(-0.2,-0.05]	5	68961	0.7944405527786484	2.384678459843347	0.009080882444074073	0.7766420231882633	0.8122390823690336
(-0.2,-0.05]	6	70773	0.9390383906749454	2.4987827527860795	0.009392791824093728	0.9206285186997217	0.9574482626501691
(-0.2,-0.05]	7	72751	1.1683599672527583	2.6159865311779145	0.009698755696888849	1.149350406086856	1.1873695284186605
(-0.2,-0.05]	8	74881	1.2106075430030225	2.6349577121382084	0.009629147336214079	1.191734414224043	1.2294806717820022
(-0.2,-0.05]	9	73979	1.25613302398026	2.6456462969198595	0.009726969487954039	1.23706816378387	1.2751978841766498
(-0.2,-0.05]	10	73846	1.1824492458179947	2.666749231298835	0.009813381681150792	1.1632150177229392	1.2016834739130502
(-0.05,0.05]	1	191838	0.23354528483681142	1.7066273363021804	0.0038964703759454666	0.2259082028999583	0.24118236677366453
(-0.05,0.05]	2	169673	0.21928249093026794	1.882737269857954	0.004570706665561475	0.21032390586576746	0.22824107599476842
(-0.05,0.05]	3	158288	0.2452844874848122	1.9601724521047155	0.004926860724440852	0.23562784046490814	0.2549411345047163
(-0.05,0.05]	4	157050	0.35355740844556127	2.1171119968544416	0.0053422580575943615	0.34308658265267633	0.3640282342384462
(-0.05,0.05]	5	148777	0.3190729681221639	2.1167306391409	0.00548779269901659	0.30831689443209137	0.32982904181223643
(-0.05,0.05]	6	147295	0.47146183505150374	2.2677394633225423	0.00590879816403531	0.45988059064999454	0.48304307945301295
(-0.05,0.05]	7	141680	0.6222651320574616	2.423542723369775	0.006438673545402818	0.609645331908472	0.6348849322064511
(-0.05,0.05]	8	139717	0.6813996326890523	2.453665622809343	0.006564335239570975	0.6685335356194932	0.6942657297586114
(-0.05,0.05]	9	138538	0.6699312746169814	2.473303400933858	0.0066449686729012835	0.6569071360180949	0.682955413215868
(-0.05,0.05]	10	131333	0.561116512557307	2.467302551357536	0.006808249697188285	0.5477723431508179	0.5744606819637961
(0.05,0.2]	1	54414	0.17643587743871317	1.9030001314111376	0.008157996076963074	0.16044620512786553	0.1924255497495608
(0.05,0.2]	2	56228	0.22145792433899347	2.1167310122238816	0.008926667420181606	0.20396165619543752	0.23895419248254943
(0.05,0.2]	3	56952	0.30250208965150804	2.1697767818322204	0.009092023878771264	0.28468172284911636	0.32032245645389973
(0.05,0.2]	4	57907	0.39980518769105705	2.297008890030216	0.009545466175875764	0.38109607398634054	0.41851430139577356
(0.05,0.2]	5	58368	0.4558321678227873	2.3292384965235886	0.009641099237396962	0.43693561331748926	0.47472872232808533
(0.05,0.2]	6	57861	0.5978362226860303	2.4553395406275986	0.010207481233215515	0.5778295594689279	0.6178428859031327
(0.05,0.2]	7	58082	0.7914171510655793	2.572759113358933	0.010675257118746546	0.7704936471128361	0.8123406550183225
(0.05,0.2]	8	57670	0.8487653220191331	2.591635216097181	0.01079192446519515	0.8276131500673506	0.8699174939709157
(0.05,0.2]	9	57732	0.878007430342864	2.6469997468013866	0.011016549705528197	0.8564149929200288	0.8995998677656992
(0.05,0.2]	10	55106	0.751981671274108	2.646705464533586	0.011274730509898863	0.7298831994747063	0.7740801430735097
(0.2,0.5]	1	12106	0.3513891604195273	2.0951259244431717	0.01904187877127027	0.31406707802783757	0.388711242811217
(0.2,0.5]	2	13503	0.47611281489367213	2.309104309808373	0.019871397826321063	0.43716487515408287	0.5150607546332614
(0.2,0.5]	3	14264	0.5559403391740614	2.3438826830086814	0.019625250339930286	0.517474848507798	0.5944058298403248
(0.2,0.5]	4	14627	0.6527257811343903	2.4779618893983453	0.020488822121036476	0.6125676897771588	0.6928838724916218
(0.2,0.5]	5	15151	0.7862147049254072	2.5129795456775454	0.02041588941221916	0.7461995616774577	0.8262298481733568
(0.2,0.5]	6	14755	0.9707641146282303	2.661250165035671	0.021908674067214143	0.9278231134564906	1.0137051157999701
(0.2,0.5]	7	15424	1.198780277815077	2.757630118805974	0.022204321427392232	1.1552598078173881	1.2423007478127657
(0.2,0.5]	8	15484	1.2989251753667872	2.807565604897791	0.022562557808046845	1.2547025620630154	1.343147788670559
(0.2,0.5]	9	14899	1.3268736154249603	2.8017270528760103	0.022953412604646846	1.2818849267198524	1.3718623041300682
(0.2,0.5]	10	13820	1.2211841527476972	2.859704105580987	0.024325796952149748	1.1735055907214837	1.2688627147739107
(0.5,1]	1	1694	0.6609662725466183	2.266347690473172	0.055064263487383164	0.5530403161113473	0.7688922289818894
(0.5,1]	2	1790	0.7389217438996162	2.5780407739201205	0.060934502028220275	0.6194901199243045	0.8583533678749279
(0.5,1]	3	1813	0.9996232752491985	2.6392818610456223	0.061985037881328434	0.8781326010017947	1.1211139494966023
(0.5,1]	4	1962	1.1324475014136786	2.834140646571138	0.06398407519027269	1.0070387140407442	1.257856288786613
(0.5,1]	5	2098	1.4492068611849738	2.857922023451978	0.06239469027654005	1.3269132682429552	1.5715004541269924
