avgKHS_skew_base_bin	loeuf_bin	count_n	phyloP_mam241_base_mean	phyloP_mam241_base_sd	phyloP_mam241_base_se	phyloP_mam241_base_lci	phyloP_mam241_base_uci
(-Inf,-1.5]	1	1069	6.5804602510162535	2.365868237798194	0.07236052367779366	6.438633624607778	6.722286877424729
(-Inf,-1.5]	2	1018	6.385142439710113	2.543814598210013	0.07972812785574175	6.228875309112859	6.5414095703073665
(-Inf,-1.5]	3	1058	6.106971649412553	2.5706774309724967	0.07903232363842892	5.952068295081232	6.2618750037438735
(-Inf,-1.5]	4	1038	5.703091533431112	2.8085278168928864	0.08717261074348627	5.532233216373879	5.873949850488345
(-Inf,-1.5]	5	1159	5.236010370652899	3.016578095852491	0.08860798391282211	5.0623387221837675	5.40968201912203
(-Inf,-1.5]	6	1005	5.10902785165085	2.9757064713937766	0.09386572925329847	4.925051022314385	5.293004680987314
(-Inf,-1.5]	7	948	4.543278769272675	3.134823622288765	0.10181433805410836	4.343722666686622	4.742834871858728
(-Inf,-1.5]	8	969	4.415351909575685	3.0363328727891736	0.09754106496427792	4.224171422245701	4.60653239690567
(-Inf,-1.5]	9	859	4.070373680006183	3.1981533436542233	0.10911958392816136	3.856499295506987	4.2842480645053795
(-Inf,-1.5]	10	690	4.034865219882297	3.1239040043583928	0.11892499297569938	3.8017722336499262	4.267958206114668
(-1.5,-1]	1	3742	5.568808924394077	2.7158575800327864	0.04439715081255771	5.481790508801463	5.65582733998669
(-1.5,-1]	2	3610	5.342213851394465	2.812903206772149	0.04681674195258717	5.250453037167395	5.433974665621536
(-1.5,-1]	3	3301	5.1238394448076505	2.8319298201778436	0.04929010286104363	5.027230843200005	5.220448046415296
(-1.5,-1]	4	3559	4.594966003109397	2.977260856096658	0.04990601508292345	4.497150213546867	4.692781792671926
(-1.5,-1]	5	3450	4.269313623396699	3.013068291619288	0.05129788121726049	4.168769776210868	4.36985747058253
(-1.5,-1]	6	3181	3.9247994266878767	3.078577144837844	0.054584357956443084	3.8178140850932483	4.031784768282505
(-1.5,-1]	7	3200	3.563840175105922	3.0123901610441903	0.05325203776134957	3.459466181093677	3.6682141691181673
(-1.5,-1]	8	2966	3.388144785309028	3.065985189296184	0.056296899773741645	3.2778028617524946	3.4984867088655616
(-1.5,-1]	9	2885	3.3002232234014377	3.0554839843249635	0.056886223454182226	3.1887262254312407	3.4117202213716347
(-1.5,-1]	10	2338	2.9690975202277308	2.967684424943598	0.06137555947716201	2.8488014236524934	3.089393616802968
(-1,-0.5]	1	14096	4.351833359680523	2.961560659818827	0.024944378450896334	4.302942377916766	4.400724341444279
(-1,-0.5]	2	13847	4.037443056289544	2.9982515121203064	0.02547945975111356	3.987503315177362	4.087382797401727
(-1,-0.5]	3	13401	3.8521867747743364	3.006976202670069	0.025975348768262404	3.801275091188542	3.9030984583601307
(-1,-0.5]	4	13676	3.2642985518799854	3.0134430113574626	0.025768161674649955	3.2137929549976714	3.3148041487622995
(-1,-0.5]	5	13043	2.9404365636745693	2.990061703190087	0.02618131183473658	2.8891211924784854	2.991751934870653
(-1,-0.5]	6	12387	2.719171388814356	2.9976580266247788	0.026933886033910923	2.666380972187891	2.7719618054408213
(-1,-0.5]	7	12076	2.5106491906091697	2.90084218372603	0.026397484897565986	2.45891012020994	2.5623882610083992
(-1,-0.5]	8	11297	2.4262149175672807	2.9120642837334505	0.027398033566356162	2.372514771777223	2.4799150633573386
(-1,-0.5]	9	10686	2.384572242341136	2.923511980446486	0.0282811648291342	2.3291411592760327	2.440003325406239
(-1,-0.5]	10	9906	2.2430566311222395	2.854918746625112	0.028684322096293558	2.186835359813504	2.299277902430975
(-0.5,-0.2]	1	35709	2.9104990061967317	2.974052981825548	0.015738373834439604	2.87965179348123	2.9413462189122335
(-0.5,-0.2]	2	34490	2.602636415952204	2.94202815744761	0.015841643209866495	2.571586795260866	2.6336860366435424
(-0.5,-0.2]	3	34041	2.332773918959589	2.87009825429068	0.015555916730340937	2.3022843221681204	2.3632635157510573
(-0.5,-0.2]	4	32575	1.9064222247830456	2.775541171512645	0.015378198474701113	1.8762809557726314	1.9365634937934597
(-0.5,-0.2]	5	31662	1.6163604691300137	2.749799222683203	0.015453676353877515	1.5860712634764138	1.6466496747836137
