avgKHS_skew_base_bin	moeuf_bin	count_n	phyloP_mam241_base_mean	phyloP_mam241_base_sd	phyloP_mam241_base_se	phyloP_mam241_base_lci	phyloP_mam241_base_uci
(-Inf,-1.5]	1	1058	6.271357287460012	2.6622714117029984	0.08184826819888144	6.110934681790205	6.43177989312982
(-Inf,-1.5]	2	1180	6.077184747582524	2.6463313703974425	0.07703768460376932	5.926190885759136	6.228178609405911
(-Inf,-1.5]	3	1184	5.6227069392262905	2.9134727284567923	0.08467108130690366	5.456751619864759	5.788662258587822
(-Inf,-1.5]	4	1052	5.449821293763922	2.952039746006201	0.09101528442025106	5.271431336300229	5.628211251227614
(-Inf,-1.5]	5	980	5.143626141178766	2.9639182990819233	0.09467889709289617	4.9580555028766895	5.329196779480842
(-Inf,-1.5]	6	995	5.087493457575795	3.0371519231114217	0.09628418888480826	4.898776447361571	5.27621046779002
(-Inf,-1.5]	7	911	5.030194726145577	3.0389553769536666	0.10068508350665258	4.832851962472538	5.227537489818617
(-Inf,-1.5]	8	845	4.782306502512573	3.121535871217596	0.10738409849610113	4.571833669460215	4.992779335564931
(-Inf,-1.5]	9	853	4.3630890989384605	3.1304306556634023	0.10718390420184283	4.153008646702848	4.573169551174073
(-Inf,-1.5]	10	772	4.3974365181177415	3.0799504878741564	0.1108498436348972	4.180170824593343	4.61470221164214
(-1.5,-1]	1	3723	5.1954061228961965	2.912547584754265	0.04773385520752378	5.10184776668945	5.288964479102943
(-1.5,-1]	2	3840	5.139355468071212	2.872486735557239	0.046354555370895396	5.048500539544257	5.230210396598167
(-1.5,-1]	3	3592	4.624320161629521	2.990855330064617	0.04990306752585413	4.526510149278847	4.7221301739801955
(-1.5,-1]	4	3333	4.3484062441881735	3.079552853401371	0.05334208723789169	4.243855753201906	4.452956735174441
(-1.5,-1]	5	3153	4.0468097975117	3.0438841268322134	0.054208342778230785	3.9405614456663676	4.153058149357032
(-1.5,-1]	6	3202	4.1442503864209765	3.0277901283369704	0.05350755479490299	4.039375579022967	4.249125193818986
(-1.5,-1]	7	2991	3.980773985124892	3.1030923220710336	0.05673962879852125	3.8695643126797905	4.091983657569994
