avgKHS_skew_base_bin	s_het_bin	count_n	phyloP_mam241_base_mean	phyloP_mam241_base_sd	phyloP_mam241_base_se	phyloP_mam241_base_lci	phyloP_mam241_base_uci
(-Inf,-1.5]	1	773	3.6693324675978705	3.252291684319958	0.11697680136158414	3.4400579369291657	3.898606998266575
(-Inf,-1.5]	2	872	3.6684942626658144	3.096131934489022	0.10484825730245083	3.462991678353011	3.873996846978618
(-Inf,-1.5]	3	1030	4.35118172603555	3.0762965972514826	0.09585385697686256	4.1633081663609	4.539055285710201
(-Inf,-1.5]	4	1002	4.856042993063105	2.974532880130339	0.09396906663369851	4.671863622461056	5.040222363665154
(-Inf,-1.5]	5	1023	5.315920824675709	2.9814003399732774	0.0932142865299476	5.1332208230770116	5.498620826274407
(-Inf,-1.5]	6	1178	5.670651954302151	2.7380893732253777	0.0797764992126733	5.514290015845312	5.827013892758991
(-Inf,-1.5]	7	913	5.8697787553422875	2.7061049078249217	0.08955900092335814	5.694243113532505	6.04531439715207
(-Inf,-1.5]	8	933	6.000828518644016	2.664649125175051	0.08723669591978624	5.829844594641235	6.171812442646797
(-Inf,-1.5]	9	991	6.517296683443586	2.4343129067228397	0.07732849796299106	6.365732827436124	6.668860539451049
(-Inf,-1.5]	10	1118	6.6291976706199804	2.319889545179945	0.06938193470850708	6.493209078591306	6.765186262648655
(-1.5,-1]	1	2260	2.534121238066616	2.9659710836723434	0.06238967065197704	2.411837483588741	2.6564049925444913
(-1.5,-1]	2	2992	2.900162434906476	3.000590375476771	0.05485622494218588	2.7926442340197917	3.0076806357931605
(-1.5,-1]	3	3186	3.3515426487975155	2.898119961087552	0.051344446020156816	3.2509075345980083	3.4521777629970227
(-1.5,-1]	4	3317	3.798119987228474	3.0391877457065894	0.05276972047253808	3.6946913351022994	3.9015486393546484
(-1.5,-1]	5	3230	4.076206189495129	3.043093675718116	0.05354440048483473	3.9712591645448527	4.181153214445405
(-1.5,-1]	6	3355	4.4988309975498675	2.9577981036981114	0.05106487391456699	4.398743844677316	4.598918150422419
(-1.5,-1]	7	3315	4.732536047730528	2.9159267206119033	0.05064479753478052	4.633272244562358	4.8317998508986975
(-1.5,-1]	8	3372	5.046667851416587	2.87126757191533	0.04944585410324084	4.949753977374235	5.143581725458939
(-1.5,-1]	9	3513	5.593074867997509	2.694176244007117	0.04545555110256863	5.503981987836474	5.682167748158544
(-1.5,-1]	10	3886	5.586511836683465	2.709439872115267	0.043463842618718884	5.501322705150776	5.671700968216155
(-1,-0.5]	1	8774	1.6992719385282997	2.6404021201441608	0.02818845401226	1.6440225686642702	1.7545213083923292
(-1,-0.5]	2	10959	1.9651794876725566	2.731238202774601	0.02609000215513788	1.9140430834484863	2.016315891896627
(-1,-0.5]	3	11788	2.187860191561298	2.8172165250407013	0.025947777401940327	2.137002547853495	2.2387178352691013
(-1,-0.5]	4	12460	2.5835545817465504	2.9366113729884664	0.026307977105571145	2.531990946619631	2.6351182168734697
(-1,-0.5]	5	12609	2.8001499725275885	2.950838952107639	0.026278779164532706	2.7486435653651045	2.8516563796900725
(-1,-0.5]	6	13300	3.184187290700192	3.0092412409877425	0.026093430807636063	3.1330441663172253	3.2353304150831588
(-1,-0.5]	7	13181	3.3865474517297756	3.034984830546074	0.026435184431421736	3.334734490244189	3.4383604132153622
(-1,-0.5]	8	13724	3.9068831236206933	2.964855905720223	0.025308315303429824	3.8572788256259707	3.956487421615416
(-1,-0.5]	9	13944	4.244390848848506	2.9568064640497576	0.025039705225275256	4.195313026606967	4.293468671090046
(-1,-0.5]	10	14511	4.457183656841048	2.9447458334578616	0.024445512400841377	4.409270452535399	4.505096861146697
(-0.5,-0.2]	1	23048	0.8500592235453197	2.2438557544265554	0.014780131987699221	0.8210901648494292	0.8790282822412102
(-0.5,-0.2]	2	26283	0.9566917126034495	2.373732558414122	0.014641794903840691	0.9279937945919218	0.9853896306149773
(-0.5,-0.2]	3	27846	1.1084578146643862	2.5219619427638387	0.015113223998790584	1.0788358956267567	1.1380797337020157
(-0.5,-0.2]	4	29272	1.344639036902363	2.6378643582708814	0.015417936819825343	1.3144198807355054	1.3748581930692207
(-0.5,-0.2]	5	30338	1.5007693646783355	2.677061233490008	0.015369680215948055	1.4706447914550773	1.5308939379015938
(-0.5,-0.2]	6	32309	1.7441519577555873	2.7335885243735127	0.015207974808441717	1.7143443271310415	1.7739595883801331
(-0.5,-0.2]	7	31800	2.0090592190771352	2.79106902086087	0.01565153787047723	1.9783822048509998	2.0397362333032705
(-0.5,-0.2]	8	34678	2.36981230134715	2.8949738239774923	0.015545962655473288	2.3393422145424223	2.4002823881518776
(-0.5,-0.2]	9	35441	2.7003760046308196	2.9111391962748874	0.015463577954897088	2.6700673918392215	2.7306846174224177
(-0.5,-0.2]	10	36421	3.05403736878229	2.9956154558103325	0.015696764035052543	3.023271711273587	3.0848030262909933
(-0.2,-0.05]	1	67320	0.3522234433995214	1.9693935154001525	0.007590326366166499	0.33734640372183505	0.3671004830772077
(-0.2,-0.05]	2	71370	0.34995648031659393	2.0625569744749086	0.007720547612885654	0.33482420699533805	0.3650887536378498
(-0.2,-0.05]	3	74153	0.4097718120440859	2.158505772143906	0.007926634832480193	0.3942356077724247	0.4253080163157471
(-0.2,-0.05]	4	75225	0.48457990182632893	2.272962088952127	0.008287262471991332	0.46833686738122593	0.5008229362714319
(-0.2,-0.05]	5	76146	0.6094543896673891	2.321450697783849	0.0084127099829971	0.5929654781007148	0.6259433012340634
(-0.2,-0.05]	6	80665	0.7499940497733778	2.4045144737515134	0.008466127926409458	0.7334004390376153	0.7665876605091403
